ID_Animal,Dias_De_Vida,Peso_Atual_KG,Custo_Acumulado_R$
BRINCO_001,112,124.0,594.92
BRINCO_002,102,112.26,599.2
BRINCO_003,24,49.99,232.69
BRINCO_004,116,117.77,590.31
BRINCO_005,81,99.83,475.84
BRINCO_006,30,59.86,238.7
BRINCO_007,112,117.57,660.15
BRINCO_008,131,138.58,711.99
BRINCO_009,84,102.27,518.99
BRINCO_010,97,116.69,570.8
BRINCO_011,126,132.33,700.2
BRINCO_012,109,115.93,636.13
BRINCO_013,113,119.04,611.11
BRINCO_014,140,130.33,702.5
BRINCO_015,62,82.25,389.23
BRINCO_016,11,43.17,195.07
BRINCO_017,97,101.1,493.29
BRINCO_018,47,70.12,375.97
BRINCO_019,139,145.97,686.38
BRINCO_020,30,53.83,290.98
BRINCO_021,67,80.45,427.2
BRINCO_022,31,63.77,287.33
BRINCO_023,98,111.67,549.8
BRINCO_024,58,93.81,399.03
BRINCO_025,68,79.41,423.8
BRINCO_026,24,56.6,236.9
BRINCO_027,60,81.58,379.57
BRINCO_028,117,123.05,679.55
BRINCO_029,64,87.55,427.97
BRINCO_030,73,89.6,461.84
BRINCO_031,140,130.32,716.11
BRINCO_032,60,75.76,396.13
BRINCO_033,144,149.82,730.12
BRINCO_034,30,63.36,263.72
BRINCO_035,82,94.63,464.17
BRINCO_036,27,57.77,303.13
BRINCO_037,141,154.67,723.28
BRINCO_038,98,108.34,539.72
BRINCO_039,69,86.69,406.66
BRINCO_040,23,53.2,227.32
BRINCO_041,18,51.53,213.23
BRINCO_042,99,107.51,564.56
BRINCO_043,62,84.53,394.27
BRINCO_044,139,129.53,693.78
BRINCO_045,93,106.43,502.74
BRINCO_046,101,111.0,591.19
BRINCO_047,120,123.91,650.93
BRINCO_048,17,45.37,237.62
BRINCO_049,44,64.95,354.31
BRINCO_050,90,98.43,531.78
BRINCO_051,59,67.66,367.01
BRINCO_052,113,118.41,629.34
BRINCO_053,141,146.23,777.19
BRINCO_054,11,41.57,185.01
BRINCO_055,143,145.43,759.12
BRINCO_056,63,76.85,414.26
BRINCO_057,115,114.72,667.31
BRINCO_058,13,41.0,187.66
BRINCO_059,63,77.12,443.44
BRINCO_060,53,68.83,363.22
BRINCO_061,23,54.5,229.25
BRINCO_062,104,121.89,589.55
BRINCO_063,57,74.42,397.96
BRINCO_064,24,44.54,298.59
BRINCO_065,49,75.03,363.79
BRINCO_066,91,96.07,537.03
BRINCO_067,120,119.08,693.9
BRINCO_068,62,83.97,425.43
BRINCO_069,33,58.92,272.49
BRINCO_070,133,131.31,742.5
BRINCO_071,50,72.84,341.51
BRINCO_072,24,50.95,234.57
BRINCO_073,54,84.95,355.59
BRINCO_074,74,87.12,437.39
BRINCO_075,98,103.93,569.93
BRINCO_076,80,92.72,479.55
BRINCO_077,18,46.44,138.65
BRINCO_078,97,110.73,550.69
BRINCO_079,138,128.54,716.65
BRINCO_080,145,145.88,781.32
BRINCO_081,72,86.29,438.32
BRINCO_082,148,149.88,835.08
BRINCO_083,90,102.26,562.92
BRINCO_084,145,146.34,749.25
BRINCO_085,42,64.54,355.14
BRINCO_086,132,136.19,717.53
BRINCO_087,14,53.82,214.64
BRINCO_088,50,68.8,380.07
BRINCO_089,37,62.21,306.75
BRINCO_090,144,140.57,760.81
BRINCO_091,81,103.71,510.78
BRINCO_092,21,48.58,289.51
BRINCO_093,42,62.84,332.68
BRINCO_094,57,74.86,378.06
BRINCO_095,71,87.57,397.47
BRINCO_096,46,65.53,392.23
BRINCO_097,108,114.16,597.02
BRINCO_098,113,120.54,637.97
BRINCO_099,44,67.42,382.45
BRINCO_100,110,121.66,617.69
BRINCO_101,140,138.4,733.13
BRINCO_102,10,41.48,227.49
BRINCO_103,14,46.86,220.32
BRINCO_104,112,130.22,635.05
BRINCO_105,36,58.06,263.12
BRINCO_106,146,154.12,793.35
BRINCO_107,24,47.08,260.19
BRINCO_108,99,110.39,531.51
BRINCO_109,51,71.55,376.33
BRINCO_110,133,130.67,657.04
BRINCO_111,72,92.5,510.95
BRINCO_112,105,116.75,563.45
BRINCO_113,61,78.34,446.49
BRINCO_114,105,103.28,570.68
BRINCO_115,141,138.65,756.21
BRINCO_116,38,64.2,286.8
BRINCO_117,45,68.76,363.93
BRINCO_118,22,55.28,236.52
BRINCO_119,80,104.67,497.69
BRINCO_120,95,108.32,549.38
BRINCO_121,37,65.59,271.26
BRINCO_122,75,91.99,477.6
BRINCO_123,54,81.36,364.22
BRINCO_124,71,90.91,474.33
BRINCO_125,143,146.0,744.7
BRINCO_126,37,71.79,303.48
BRINCO_127,37,63.88,347.47
BRINCO_128,117,121.4,700.94
BRINCO_129,53,76.98,392.25
BRINCO_130,93,110.43,533.42
BRINCO_131,39,66.76,304.43
BRINCO_132,84,103.3,482.33
BRINCO_133,137,134.41,709.77
BRINCO_134,101,106.41,567.36
BRINCO_135,138,135.77,778.71
BRINCO_136,130,126.16,691.07
BRINCO_137,36,62.55,270.55
BRINCO_138,130,130.35,697.04
BRINCO_139,125,134.9,679.45
BRINCO_140,12,37.54,201.29
BRINCO_141,112,126.77,640.39
BRINCO_142,146,139.59,764.93
BRINCO_143,71,82.06,467.42
BRINCO_144,60,75.88,382.49
BRINCO_145,68,95.76,480.12
BRINCO_146,127,130.05,689.71
BRINCO_147,105,116.4,601.01
BRINCO_148,122,125.58,642.79
BRINCO_149,71,87.8,460.0
BRINCO_150,61,78.22,422.48
BRINCO_151,21,51.0,208.96
BRINCO_152,48,73.47,310.12
BRINCO_153,139,147.64,741.14
BRINCO_154,140,130.63,725.78
BRINCO_155,122,134.55,668.9
BRINCO_156,110,120.14,579.72
BRINCO_157,122,124.66,623.39
BRINCO_158,90,99.76,533.17
BRINCO_159,122,131.72,653.66
BRINCO_160,11,44.39,143.43
BRINCO_161,139,131.58,767.38
BRINCO_162,63,84.07,381.91
BRINCO_163,96,112.72,617.53
BRINCO_164,138,142.79,714.0
BRINCO_165,135,133.12,727.04
BRINCO_166,139,132.54,774.97
BRINCO_167,62,79.87,447.39
BRINCO_168,77,109.02,523.05
BRINCO_169,132,126.28,666.32
BRINCO_170,47,66.04,319.0
BRINCO_171,33,61.71,294.25
BRINCO_172,78,92.88,498.59
BRINCO_173,125,127.75,674.72
BRINCO_174,107,125.37,558.45
BRINCO_175,148,141.73,784.01
BRINCO_176,106,114.43,590.34
BRINCO_177,133,135.76,703.44
BRINCO_178,79,90.23,424.85
BRINCO_179,102,104.3,598.34
BRINCO_180,12,45.35,204.03
BRINCO_181,99,118.32,610.68
BRINCO_182,105,115.77,589.14
BRINCO_183,61,81.2,420.36
BRINCO_184,137,138.16,746.2
BRINCO_185,48,69.71,307.95
BRINCO_186,91,109.17,597.62
BRINCO_187,113,117.22,613.83
BRINCO_188,138,131.72,741.96
BRINCO_189,20,42.09,250.01
BRINCO_190,51,73.65,343.83
BRINCO_191,108,121.3,649.77
BRINCO_192,16,48.19,223.85
BRINCO_193,99,107.66,560.46
BRINCO_194,121,128.04,661.66
BRINCO_195,69,87.68,458.91
BRINCO_196,122,130.63,662.67
BRINCO_197,11,49.88,218.25
BRINCO_198,138,133.73,687.48
BRINCO_199,57,66.05,370.7
BRINCO_200,149,144.99,722.33
